JW_ID,Entry,Protein names,Length,Gene Names (primary),AlphaFoldDB,PDB
JW0157,P0C0V0,Periplasmic serine endoprotease DegP (EC 3.4.21.107) (Heat shock protein DegP) (Protease Do),474,degP,P0C0V0;,1KY9;2ZLE;3CS0;3MH4;3MH5;3MH6;3MH7;3OTP;3OU0;4A8D;6JJK;6JJL;6JJO;8F0A;8F0U;8F1T;8F1U;8F21;8F26;
JW5013,P37047,Carbohydrate diacid regulator (Sugar diacid regulator),385,cdaR,P37047;,
JW0159,P62768,UPF0325 protein YaeH,128,yaeH,P62768;,
JW5014,P37049,Phosphodiesterase YaeI (EC 3.1.4.-),270,yaeI,P37049;,
JW0161,P0A9D8,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Succinyl-CoA: tetrahydrodipicolinate N-succinyltransferase) (Tetrahydrodipicolinate N-succinyltransferase) (THDP succinyltransferase) (THP succinyltransferase) (Tetrahydropicolinate succinylase)",274,dapD,P0A9D8;,
JW0163,P0AE18,Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M),264,map,P0AE18;,1C21;1C22;1C23;1C24;1C27;1MAT;1XNZ;1YVM;2BB7;2EVC;2EVM;2EVO;2GG0;2GG2;2GG3;2GG5;2GG7;2GG8;2GG9;2GGB;2GGC;2GTX;2GU4;2GU5;2GU6;2GU7;2MAT;2P98;2P99;2P9A;2Q92;2Q93;2Q94;2Q95;2Q96;3D27;3MAT;4MAT;4Z7M;6IZ7;6IZI;6J0A;
JW0164,P0A7V0,Small ribosomal subunit protein uS2 (30S ribosomal protein S2),241,rpsB,P0A7V0;,2YKR;3J9Y;3J9Z;3JA1;3JBU;3JBV;3JCD;3JCE;3JCJ;3JCN;4A2I;4ADV;4ODL;4ODM;4ODN;4ODP;4TOI;4U1U;4U1V;4U20;4U24;4U25;4U26;4U27;4V48;4V4H;4V4Q;4V4V;4V4W;4V50;4V52;4V53;4V54;4V55;4V56;4V57;4V5B;4V5H;4V5Y;4V64;4V65;4V66;4V69;4V6C;4V6D;4V6E;4V6K;4V6L;4V6M;4V6N;4V6O;4V6P;4V6Q;4V6R;4V6S;4V6T;4V6V;4V6Y;4V6Z;4V70;4V71;4V72;4V73;4V74;4V75;4V76;4V77;4V78;4V79;4V7A;4V7B;4V7C;4V7D;4V7I;4V7S;4V7T;4V7U;4V7V;4V85;4V89;4V9C;4V9D;4V9O;4V9P;4WF1;4WOI;4WWW;4YBB;5AFI;5H5U;5IQR;5IT8;5J5B;5J7L;5J88;5J8A;5J91;5JC9;5JTE;5JU8;5KCR;5KCS;5KPS;5KPV;5KPW;5KPX;5L3P;5LZA;5LZB;5LZC;5LZD;5LZE;5LZF;5MDV;5MDW;5MDY;5MDZ;5ME0;5ME1;5MGP;5MY1;5NO3;5NP6;5NWY;5O2R;5U4I;5U9F;5U9G;5UYK;5UYL;5UYM;5UYN;5UYP;5UYQ;5UZ4;5WDT;5WE4;5WE6;5WF0;5WFK;5WFS;6AWB;6AWC;6AWD;6BU8;6BY1;6C4I;6DNC;6ENF;6ENJ;6ENU;6GWT;6GXM;6GXN;6GXO;6GXP;6H4N;6H58;6HRM;6I7V;6NQB;6O7K;6O9J;6O9K;6OFX;6OG7;6OGF;6OGG;6OGI;6OM6;6ORE;6ORL;6OSK;6OSQ;6OST;6OT3;6OUO;6Q97;6Q98;6Q9A;6SZS;6TBV;6TC3;6VU3;6VWL;6VWM;6VWN;6VYQ;6VYR;6VYS;6VYT;6VYU;6VYW;6VYX;6VYY;6VYZ;6VZ2;6VZ3;6VZ5;6VZ7;6VZJ;6W7M;6WD0;6WD1;6WD2;6WD3;6WD4;6WD5;6WD6;6WD7;6WD8;6WD9;6WDA;6WDB;6WDC;6WDD;6WDE;6WDF;6WDG;6WDH;6WDI;6WDJ;6WDK;6WDL;6WDM;6WNV;6WNW;6X6T;6X7F;6X7K;6X9Q;6XDQ;6XDR;6XE0;6XGF;6XII;6XIJ;6XZA;6XZB;6Y69;6ZTJ;6ZTL;6ZTM;6ZTN;6ZTO;6ZTP;6ZU1;7ABZ;7AC7;7ACJ;7ACR;7AF3;7AF5;7AF8;7AFA;7AFD;7AFH;7AFK;7AFN;7BOE;7BOH;7D6Z;7D80;7JSS;7JSW;7JSZ;7JT1;7JT2;7JT3;7K00;7K50;7K51;7K52;7K53;7K54;7K55;7LV0;7M5D;7N1P;7N2C;7N2U;7N2V;7N30;7N31;7NAR;7NAT;7NAU;7NAV;7NAX;7NBU;7O19;7O1A;7O1C;7O5H;7OE0;7OE1;7OIZ;7OJ0;7OXG;7OXH;7OXI;7OXJ;7OXK;7P3K;7PJV;7PJY;7QG8;7QGR;7S1G;7S1H;7S1I;7S1J;7S1K;7SA4;7SS9;7SSD;7SSL;7SSN;7SSO;7SSW;7ST2;7ST6;7ST7;7TOS;7UG7;7UPH;7Y7C;7Y7D;7Y7E;7Y7F;7Y7G;7Y7H;7ZTA;8A3L;8AKN;8AM9;8AYE;8B0X;8B7Y;8BF7;8BGE;8BGH;8BH4;8BHJ;8BHL;8BHN;8BHP;8BIL;8BIM;8CAI;8CAZ;8CF1;8CF8;8CGJ;8EIU;8EKC;8EMM;8FIZ;8G2U;8G31;8G34;8G38;8G6W;8HTZ;8HU1;8IFB;8IFC;8JSG;8PEG;8PHJ;8PKL;8PVA;8QBT;8QOA;8R3V;8RCL;8RCM;8RCS;8RCT;
JW0165,P0A6P1,Elongation factor Ts (EF-Ts) (Bacteriophage Q beta RNA-directed RNA polymerase subunit IV),283,tsf,P0A6P1;,1EFU;3AGP;3AGQ;3AVT;3AVU;3AVV;3AVW;3AVX;3AVY;3MMP;3VNU;3VNV;4FWT;4PC3;4PC7;4Q7J;4R71;
JW0166,P0A7E9,Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK),241,pyrH,P0A7E9;,2BND;2BNE;2BNF;2V4Y;
JW0167,P0A805,Ribosome-recycling factor (RRF) (Ribosome-releasing factor),185,frr,P0A805;,1EK8;1ISE;1Y69;1ZN0;1ZN1;2RDO;4V9C;4V9D;4WOI;
JW0169,P60472,"Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific) (EC 2.5.1.31) (Ditrans,polycis-undecaprenylcistransferase) (Undecaprenyl diphosphate synthase) (UDS) (Undecaprenyl pyrophosphate synthase) (UPP synthase)",253,ispU,P60472;,1JP3;1UEH;1V7U;1X06;1X07;1X08;1X09;2E98;2E99;2E9A;2E9C;2E9D;3QAS;3SGV;3SGX;3SH0;3TH8;3WYJ;4H2J;4H2M;4H2O;4H38;4H3A;4H3C;5CQB;5CQJ;5ZHE;
JW0171,P0AEH1,Regulator of sigma-E protease RseP (EC 3.4.24.-) (S2P endopeptidase) (Site-2 protease RseP) (S2P protease RseP) (Site-2-type intramembrane protease),450,rseP,P0AEH1;,2ZPL;2ZPM;3ID1;3ID2;3ID3;3ID4;7W6X;7W71;
JW0172,P0A940,Outer membrane protein assembly factor BamA (Omp85),810,bamA,P0A940;,2QCZ;2QDF;2V9H;3EFC;3OG5;3Q6B;4C4V;4N75;4PK1;4XGA;5AYW;5D0O;5D0Q;5EKQ;5LJO;6FSU;6LYQ;6LYR;6LYS;6LYU;6QGW;6QGX;6QGY;6SMX;6SN0;6SN2;6SN3;6SN4;6SN5;6SN7;6SN8;6SN9;6SO7;6SO8;6SOA;6SOB;6SOC;6SOG;6SOH;6SOJ;6T1W;6V05;7BNQ;7NBX;7NCS;7ND0;7NRE;7NRF;7NRI;7P1C;7R1V;7R1W;7RI4;7RI5;7RI6;7RI7;7RI8;7RI9;7RJ5;7TSZ;7TT0;7TT1;7TT2;7TT3;7TT4;7TT5;7TT6;7TT7;7TTC;7YE4;7YE6;8ADG;8ADI;8BNZ;8BO2;8BVQ;8BWC;
JW0173,P0AEU7,Chaperone protein Skp (DNA-binding 17 kDa protein) (Histone-like protein HLP-1) (Seventeen kilodalton protein),161,skp,P0AEU7;,1SG2;1U2M;
JW0174,P21645,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase (UDP-3-O-(3-OHC14)-GlcN N-acyltransferase) (EC 2.3.1.191) (Protein FirA) (Rifampicin resistance protein) (UDP-3-O-(3-hydroxytetradecanoyl)glucosamine N-acyltransferase),341,lpxD,P21645;,3EH0;4IHF;4IHG;4IHH;6P83;6P84;6P85;6P86;6P87;6P88;6P89;6P8A;6P8B;
JW0175,P0A6Q6,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (17 kDa actomyosin component) (Beta-hydroxyacyl-ACP dehydratase),151,fabZ,P0A6Q6;,6N3P;
JW0176,P0A722,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (UDP-N-acetylglucosamine acyltransferase) (EC 2.3.1.129),262,lpxA,P0A722;,1LXA;2AQ9;2JF2;2JF3;2QIA;2QIV;4J09;6HY2;6P9P;6P9Q;6P9R;6P9S;6P9T;
JW0177,P10441,Lipid-A-disaccharide synthase (EC 2.4.1.182),382,lpxB,P10441;,5W8N;5W8S;5W8X;
JW0178,P10442,Ribonuclease HII (RNase HII) (EC 3.1.26.4),198,rnhB,P10442;,7UWE;7UWH;
JW0179,P10443,DNA polymerase III subunit alpha (EC 2.7.7.7),1160,dnaE,P10443;,2HNH;2HQA;4GX8;4GX9;4JOM;5FKU;5FKV;5FKW;5M1S;
JW0180,P0ABD5,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15),319,accA,P0ABD5;,2F9Y;
JW0181,P52095,Constitutive lysine decarboxylase (LDCC) (EC 4.1.1.18),713,ldcC,P52095;,5FKZ;
JW0182,P52096,Uncharacterized protein YaeR,129,yaeR,P52096;,
JW0183,P52097,tRNA(Ile)-lysidine synthase (EC 6.3.4.19) (tRNA(Ile)-2-lysyl-cytidine synthase) (tRNA(Ile)-lysidine synthetase),432,tilS,P52097;,1NI5;
JW0184,P0AFW8,Protein rof,84,rof,P0AFW8;,1SG5;8PTM;8PTN;8PTO;8PTP;
JW0185,P0A8K5,UPF0253 protein YaeP,66,yaeP,P0A8K5;,
JW0186,P0AA97,Uncharacterized protein YaeQ,181,yaeQ,P0AA97;,3C0U;
JW0187,P40711,Peptidyl-tRNA hydrolase ArfB (PTH) (EC 3.1.1.29) (Alternative ribosome-rescue factor B),140,arfB,P40711;,2RTX;4V95;7JSS;7JSW;7JSZ;7JT1;7JT2;7JT3;
JW0188,P40710,Lipoprotein NlpE (Copper homeostasis protein CutF),236,nlpE,P40710;,2Z4H;2Z4I;
JW5016,P37056,Probable lipoprotein peptidase YaeF (EC 3.4.-.-) (Uncharacterized lipoprotein YaeF),274,yaeF,P37056;,
JW0190,P16659,Proline--tRNA ligase (EC 6.1.1.15) (Global RNA synthesis factor) (Prolyl-tRNA synthetase) (ProRS),572,proS,P16659;,
JW0191,P28634,tRNA (adenine(37)-N6)-methyltransferase (EC 2.1.1.-) (tRNA (m6t6A37) methyltransferase) (tRNA methyltransferase O),235,trmO,P28634;,
JW0192,P69411,Outer membrane lipoprotein RcsF,134,rcsF,P69411;,2L8Y;2Y1B;6T1W;7V8L;
JW0193,P28635,D-methionine-binding lipoprotein MetQ,271,metQ,P28635;,4YAH;6CVL;
JW0195,P30750,Methionine import ATP-binding protein MetN (EC 7.4.2.11),343,metN,P30750;,3DHW;3DHX;3TUI;3TUJ;3TUZ;6CVL;
JW0196,P63228,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.82) (D,D-heptose 1,7-bisphosphate phosphatase) (HBP phosphatase)",191,gmhB,P63228;,2GMW;3ESQ;3ESR;3L1U;3L1V;3L8E;3L8F;3L8G;
JW0197,P30863,"2,5-diketo-D-gluconic acid reductase B (2,5-DKG reductase B) (2,5-DKGR B) (25DKGR-B) (EC 1.1.1.346) (AKR5D)",267,dkgB,P30863;,
JW0198,P30864,Uncharacterized HTH-type transcriptional regulator YafC,304,yafC,P30864;,
JW5017,P0A8U2,UPF0294 protein YafD,266,yafD,P0A8U2;,
JW5018,P0AEZ7,Membrane-bound lytic murein transglycosylase D (EC 4.2.2.n1) (Murein hydrolase D) (Regulatory protein DniR),452,mltD,P0AEZ7;,1E0G;
JW0202,P0AC84,Hydroxyacylglutathione hydrolase GloB (EC 3.1.2.6) (Glyoxalase II) (Glx II),251,gloB,P0AC84;,6RZ0;6S0I;
JW0204,P0A7Y4,Ribonuclease HI (RNase HI) (EC 3.1.26.4) (Ribonuclease H) (RNase H),155,rnhA,P0A7Y4;,1F21;1G15;1GOA;1GOB;1GOC;1JL1;1JL2;1JXB;1KVA;1KVB;1KVC;1LAV;1LAW;1RBR;1RBS;1RBT;1RBU;1RBV;1RCH;1RDA;1RDB;1RDC;1RDD;1RNH;1WSE;1WSF;1WSG;1WSH;1WSI;1WSJ;2RN2;2YV0;2Z1G;2Z1H;2Z1I;2Z1J;3AA2;3AA3;3AA4;3AA5;3HYF;3QIN;3QIO;4Z0U;7VSA;7VSB;7VSC;7VSD;7VSE;
JW0205,P03007,DNA polymerase III subunit epsilon (EC 2.7.7.7),243,dnaQ,P03007;,1J53;1J54;2GUI;2IDO;2XY8;4GX8;4GX9;5FKU;5FKV;5FKW;5M1S;
JW0206,P77339,Uncharacterized lipoprotein YafT,261,yafT,P77339;,
JW5019,Q47679,Omega-amidase YafV (EC 3.5.1.3),256,yafV,Q47679;,
JW0210,P0AD59,Inhibitor of vertebrate lysozyme,157,ivy,P0AD59;,1GPQ;1XS0;
JW0212,P63224,Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase),192,gmhA,P63224;,2I22;2I2W;
JW0213,Q47147,Putative glutamine amidotransferase YafJ (EC 2.4.2.-),255,yafJ,Q47147;,
JW0214,P0AA99,"Putative L,D-transpeptidase YafK (EC 2.-.-.-)",246,yafK,P0AA99;,8IKR;
JW0215,Q47149,mRNA interferase toxin YafQ (EC 3.1.-.-) (Endoribonuclease YafQ) (Toxin YafQ),92,yafQ,Q47149;,4Q2U;
JW0216,Q47150,Antitoxin DinJ,86,dinJ,Q47150;,4Q2U;
JW0217,Q47151,Probable endopeptidase YafL (EC 3.4.-.-) (Uncharacterized lipoprotein YafL),249,yafL,Q47151;,
JW0218,Q47152,REP-associated tyrosine transposase,165,rayT,Q47152;,4ER8;
JW5812,Q47154,Putative truncated flagellar export/assembly protein LafU,211,lafU,Q47154;,
JW5811,Q47153,Putative truncated flagellar export/assembly protein LfhA,579,lfhA,Q47153;,
JW0221,Q47155,DNA polymerase IV (Pol IV) (EC 2.7.7.7) (Translesion synthesis polymerase IV) (TSL polymerase IV),351,dinB,Q47155;,1OK7;1UNN;4IR1;4IR9;4IRC;4IRD;4IRK;4Q43;4Q44;4Q45;4R8U;5C5J;5YUR;5YUS;5YUT;5YUU;5YUV;5YUW;5YUX;5YUY;5YUZ;5YV0;5YV1;5YV2;5YV3;5YYD;5YYE;5ZLV;6IG1;6JUP;6JUQ;
JW0223,Q47157,mRNA interferase toxin YafO (EC 3.1.-.-) (Endoribonuclease YafO) (Toxin YafO),132,yafO,Q47157;,
JW0224,Q47158,Uncharacterized N-acetyltransferase YafP (EC 2.3.1.-),150,yafP,Q47158;,
JW0227,P15288,Cytosol non-specific dipeptidase (EC 3.4.13.18) (Aminoacyl-histidine dipeptidase) (Beta-alanyl-histidine dipeptidase) (Carnosinase) (Cysteinylglycinase) (Peptidase D) (Xaa-His dipeptidase) (X-His dipeptidase),485,pepD,P15288;,
JW0229,P04335,Esterase FrsA (EC 3.1.1.1) (Fermentation/respiration switch protein),414,frsA,P04335;,
JW0230,P24251,Sigma factor-binding protein Crl (Curlin genes transcriptional activatory protein),133,crl,P24251;,6KJ6;
JW0231,P02932,Outer membrane porin PhoE (Outer membrane pore protein E),351,phoE,P02932;,1PHO;
JW0232,P0A7B5,Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK),367,proB,P0A7B5;,2J5T;2J5V;2W21;
JW0233,P07004,Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase),417,proA,P07004;,
JW0234,P77692,Toxin YkfI,113,ykfI,P77692;,
JW0235,Q47684,Antitoxin YafW,105,yafW,Q47684;,
JW0236,Q47685,UPF0758 protein YkfG,158,ykfG,Q47685;,
JW5022,P75676,Uncharacterized protein YafX,152,yafX,P75676;,
JW5023,P75677,UPF0401 protein YkfF,79,ykfF,P75677;,2HJJ;
JW0239,P77162,Uncharacterized protein YkfB,155,ykfB,P77162;,
JW0240,P77365,Lipoprotein YafY,147,yafY,P77365;,
JW0242,P77206,UPF0380 protein YafZ,273,yafZ,P77206;,
JW0243,P75678,Uncharacterized protein YkfA,287,ykfA,P75678;,
JW0244,Q57083,HTH-type transcriptional regulator PerR (Peroxide resistance protein PerR),297,perR,Q57083;,
JW0247,P75680,Putative transposase InsO for insertion sequence element IS911A,141,insO1,P75680;,
JW5813,Q47688,Protein YkfC,381,ykfC,Q47688;,
JW0253,Q47690,Homocysteine S-methyltransferase (EC 2.1.1.10) (S-methylmethionine:homocysteine methyltransferase),310,mmuM,Q47690;,5DML;5DMM;5DMN;
JW0254,P37009,Fe(3+) ions import ATP-binding protein FbpC (EC 7.2.2.7),348,fbpC,P37009;,
JW0255,P75681,Putative ferric transport system permease-like protein AfuB,120,afuB,P75681;,
JW0258,Q79E92,Putative transposase YkgN,112,ykgN,Q79E92;,
JW0259,P37008,Orphan antitoxin YagB,116,yagB,P37008;,
JW0260,P37007,Uncharacterized protein YagA,384,yagA,P37007;,
JW0261,P75682,Putative 2-dehydro-3-deoxy-D-gluconate aldolase YagE (KDG aldolase YagE) (EC 4.1.2.51) (Putative 2-dehydro-3-deoxy-D-pentonate aldolase YagE) (EC 4.1.2.28),302,yagE,P75682;,2V8Z;2V9D;3N2X;3NEV;4OE7;4ONV;4PTN;4U4M;
JW0266,P06960,Ornithine carbamoyltransferase subunit F (OTCase-2) (EC 2.1.3.3),334,argF,P06960;,
JW0271,P77657,Uncharacterized protein YagK,208,yagK,P77657;,
JW0272,P77607,Uncharacterized protein YagL,232,yagL,P77607;,
JW0273,P71296,Uncharacterized protein YagM,284,yagM,P71296;,
JW0276,P75684,Putative LysR family substrate binding domain-containing protein YagP,136,yagP,P75684;,
JW0277,P77183,Molybdenum cofactor insertion chaperone PaoD,318,paoD,P77183;,
JW0278,P77489,Aldehyde oxidoreductase molybdenum-binding subunit PaoC (EC 1.2.99.6),732,paoC,P77489;,5G5G;5G5H;
JW0279,P77324,Aldehyde oxidoreductase FAD-binding subunit PaoB (EC 1.2.99.6),318,paoB,P77324;,5G5G;5G5H;
JW0280,P77165,Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA (EC 1.2.99.6),229,paoA,P77165;,5G5G;5G5H;
JW0281,P0AAA1,Inner membrane protein YagU,204,yagU,P0AAA1;,
JW0282,P0AAL9,Uncharacterized protein YkgJ,109,ykgJ,P0AAL9;,
JW5030,P77263,Probable fimbrial chaperone EcpE,236,ecpE,P77263;,
JW0284,P77694,Fimbria adhesin EcpD,547,ecpD,P77694;,
JW0286,P77188,Probable fimbrial chaperone EcpB,222,ecpB,P77188;,5DFK;
JW0287,P0AAA3,Common pilus major fimbrillin subunit EcpA (MatB fimbrillin),195,ecpA,P0AAA3;,
JW5035,P0A7N1,Large ribosomal subunit protein bL31B (50S ribosomal protein L31 type B),87,ykgM,P0A7N1;,6I7V;
JW0291,P36943,Putative attaching and effacing protein homolog,295,eaeH,P36943;,
JW5037,P77601,Putative HTH-type transcriptional regulator YkgA,239,ykgA,P77601;,
JW5040,P77212,Probable pyridine nucleotide-disulfide oxidoreductase RclA (Reactive chlorine resistance protein A),441,rclA,P77212;,6KGY;6KOD;6KYY;
JW0298,P77379,RCS-specific HTH-type transcriptional activator RclR (Reactive chlorine resistance protein R),284,rclR,P77379;,
JW5041,P77252,Uncharacterized protein YkgE,239,ykgE,P77252;,
JW5042,P77433,Uncharacterized protein YkgG,231,ykgG,P77433;,
JW0303,P17444,Oxygen-dependent choline dehydrogenase (CDH) (CHD) (EC 1.1.99.1) (Betaine aldehyde dehydrogenase) (BADH) (EC 1.2.1.8),556,betA,P17444;,
JW0304,P17445,Betaine aldehyde dehydrogenase (BADH) (EC 1.2.1.8),490,betB,P17445;,
JW0305,P17446,HTH-type transcriptional regulator BetI,195,betI,P17446;,
JW0307,P21514,Cyclic di-GMP phosphodiesterase PdeL (EC 3.1.4.52),362,pdeL,P21514;,4KIE;4LJ3;4LYK;7PK5;
JW0308,P77700,Uncharacterized HTH-type transcriptional regulator YahB,310,yahB,P77700;,
JW0310,P77736,Putative ankyrin repeat protein YahD,201,yahD,P77736;,
JW0311,P77297,Uncharacterized protein YahE,287,yahE,P77297;,
JW0313,P77221,Uncharacterized protein YahG,472,yahG,P77221;,
JW0315,P77624,Carbamate kinase-like protein YahI,316,yahI,P77624;,
JW0316,P77554,Uncharacterized protein YahJ,460,yahJ,P77554;,
JW0317,P75691,Aldehyde reductase YahK (EC 1.1.1.2) (Zinc-dependent alcohol dehydrogenase YahK),349,yahK,P75691;,1UUF;
JW0320,P75693,Uncharacterized membrane protein YahN,223,yahN,P75693;,
JW0321,P75694,Uncharacterized protein YahO,91,yahO,P75694;,
JW0322,P77743,Propionate catabolism operon regulatory protein,528,prpR,P77743;,2PJU;
JW0323,P77541,"2-methylisocitrate lyase (2-MIC) (MICL) (EC 4.1.3.30) ((2R,3S)-2-methylisocitrate lyase)",296,prpB,P77541;,1MUM;1OQF;1XG3;1XG4;
JW0324,P31660,"2-methylcitrate synthase (2-MCS) (MCS) (EC 2.3.3.5) ((2S,3S)-2-methylcitrate synthase) (Citrate synthase) (EC 2.3.3.16)",389,prpC,P31660;,
JW0325,P77243,"2-methylcitrate dehydratase (2-MC dehydratase) (EC 4.2.1.79) ((2S,3S)-2-methylcitrate dehydratase) (Aconitate hydratase) (ACN) (Aconitase) (EC 4.2.1.3)",483,prpD,P77243;,1SZQ;
JW0326,P77495,Propionate--CoA ligase (EC 6.2.1.17) (Propionyl-CoA synthetase),628,prpE,P77495;,
JW0328,P25524,Cytosine deaminase (CD) (CDA) (CDase) (EC 3.5.4.1) (Cytosine aminohydrolase) (Isoguanine deaminase) (EC 3.5.4.-),427,codA,P25524;,1K6W;1K70;1R9X;1R9Y;1R9Z;1RA0;1RA5;1RAK;3G77;3O7U;3R0D;3RN6;
JW0330,P0ABE9,Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase 1),219,cynT,P0ABE9;,
JW0331,P00816,Cyanate hydratase (Cyanase) (EC 4.2.1.104) (Cyanate hydrolase) (Cyanate lyase),156,cynS,P00816;,1DW9;1DWK;2IU7;2IUO;2IV1;2IVB;2IVG;2IVQ;8K6G;8K6H;8K6S;8K6U;8K6X;
JW0335,P00722,Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase),1024,lacZ,P00722;,1DP0;1F4A;1F4H;1HN1;1JYN;1JYV;1JYW;1JYX;1JZ2;1JZ3;1JZ4;1JZ5;1JZ6;1JZ7;1JZ8;1PX3;1PX4;3CZJ;3DYM;3DYO;3DYP;3E1F;3I3B;3I3D;3I3E;3IAP;3IAQ;3J7H;3MUY;3MUZ;3MV0;3MV1;3SEP;3T08;3T09;3T0A;3T0B;3T0D;3T2O;3T2P;3T2Q;3VD3;3VD4;3VD5;3VD7;3VD9;3VDA;3VDB;3VDC;4CKD;4DUV;4DUW;4DUX;4TTG;4V40;4V41;4V44;4V45;5A1A;6CVM;6DRV;6KUZ;6TSH;6TSK;6TTE;6X1Q;7BRS;7BTK;8BK7;8BK8;8BKG;8Q7Y;
JW0336,P03023,Lactose operon repressor,360,lacI,P03023;,1CJG;1EFA;1JWL;1JYE;1JYF;1L1M;1LBG;1LBH;1LBI;1LCC;1LCD;1LQC;1OSL;1TLF;2BJC;2KEI;2KEJ;2KEK;2P9H;2PAF;2PE5;3EDC;4RZS;4RZT;8GOH;
JW0337,P77569,DNA-binding transcriptional activator MhpR (mhp operon transcriptional activator),277,mhpR,P77569;,
JW0338,P77397,3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase (3-HCI hydroxylase) (3-HPP hydroxylase) (EC 1.14.13.127),554,mhpA,P77397;,
JW0339,P0ABR9,"2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase (EC 1.13.11.16) (3-carboxyethylcatechol 2,3-dioxygenase)",314,mhpB,P0ABR9;,
JW0340,P77044,"2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase (EC 3.7.1.14) (2-hydroxy-6-ketonona-2,4-diene-1,9-dioic acid 5,6-hydrolase) (2-hydroxy-6-oxonona-2,4,7-triene-1,9-dioic acid 5,6-hydrolase) (2-hydroxy-6-oxonona-2,4-diene-1,9-dioic acid 5,6-hydrolase)",288,mhpC,P77044;,1U2E;
JW0341,P77608,2-keto-4-pentenoate hydratase (EC 4.2.1.80) (2-hydroxypentadienoic acid hydratase),269,mhpD,P77608;,1SV6;2WQT;
JW0342,P77580,Acetaldehyde dehydrogenase (EC 1.2.1.10) (Acetaldehyde dehydrogenase [acetylating]),316,mhpF,P77580;,
JW0343,P51020,4-hydroxy-2-oxovalerate aldolase (HOA) (EC 4.1.3.39) (4-hydroxy-2-keto-pentanoic acid aldolase) (4-hydroxy-2-oxopentanoate aldolase),337,mhpE,P51020;,
JW0345,P51024,Uncharacterized protein YaiL,179,yaiL,P51024;,
JW0346,P51025,S-formylglutathione hydrolase FrmB (FGH) (EC 3.1.2.12),277,frmB,P51025;,
JW0347,P25437,S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284) (Alcohol dehydrogenase class-3) (EC 1.1.1.1) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-),369,frmA,P25437;,
JW0348,P0AAP3,Transcriptional repressor FrmR,91,frmR,P0AAP3;,5LBM;
JW0349,Q47534,Outer membrane protein YaiO,257,yaiO,Q47534;,
JW0355,Q47536,Uncharacterized glycosyltransferase YaiP (EC 2.4.-.-),398,yaiP,Q47536;,
JW0356,P71311,Uncharacterized deacetylase YaiS (EC 3.-.-.-),185,yaiS,P71311;,
JW0358,Q47538,Taurine import ATP-binding protein TauB (EC 7.6.2.7),255,tauB,Q47538;,
JW0359,Q47539,Taurine transport system permease protein TauC,275,tauC,Q47539;,
JW0360,P37610,Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17) (2-aminoethanesulfonate dioxygenase) (Sulfate starvation-induced protein 3) (SSI3),283,tauD,P37610;,1GQW;1GY9;1OS7;1OTJ;6EDH;
JW0361,P0ACB2,Delta-aminolevulinic acid dehydratase (ALAD) (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase),324,hemB,P0ACB2;,1B4E;1I8J;1L6S;1L6Y;5MHB;
JW0366,P0AAP5,Inhibitor of hydrogen peroxide resistance,207,iprA,P0AAP5;,
JW5052,P0AD70,D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH (EC 3.4.-.-) (DD-alanine-endopeptidase) (DD-carboxypeptidase) (Penicillin-binding protein AmpH),385,ampH,P0AD70;,
JW0369,P77562,Uncharacterized protein YaiW,364,yaiW,P77562;,
